Desktop File Name	Name	Generic Name	Comments	Command	Terminal/UI	Display	Show	MIME Types	Categories	Keywords
org.kde.step.desktop	Step	Interactive Physical Simulator	Simulate physics experiments	"step -qwindowtitle %c -qwindowicon step"	UI	OnDisplay	Shown	application/x-step	Qt, KDE, Education, Physics	
breezestyleconfig.desktop	Breeze Widget Style			"kcmshell5 breezestyleconfig"	UI	NoDisplay	Shown			
xboard-config.desktop	Xboard	X-windows chess board	Start preconfigured XBoard	"xboard -opt %f"	UI	NoDisplay	Shown	application/x-xboard-opt	Game, BoardGame	
org.kde.kolourpaint.desktop	KolourPaint	Paint Program	An easy-to-use paint program	"kolourpaint %u"	UI	OnDisplay	Shown	application/x-krita, application/x-navi-animation, image/avif, image/bmp, image/gif, image/heif, image/jpeg, image/jxl, image/openraster, image/png, image/svg+xml, image/svg+xml-compressed, image/tiff, image/vnd.adobe.photoshop, image/vnd.microsoft.icon, image/vnd.wap.wbmp, image/webp, image/x-eps, image/x-exr, image/x-hdr, image/x-icns, image/x-mng, image/x-pcx, image/x-pic, image/x-portable-bitmap, image/x-portable-graymap, image/x-portable-pixmap, image/x-rgb, image/x-sun-raster, image/x-tga, image/x-xbitmap, image/x-xcf, image/x-xpixmap	Qt, KDE, Graphics, 2DGraphics, RasterGraphics	
org.kde.itinerary.desktop	KDE Itinerary	Itinerary management	Travel assistance application.	"itinerary %f"	UI	OnDisplay	Shown	application/vnd.apple.pkpass, application/ld+json, application/pdf, text/calendar, text/html, application/json, message/rfc822, application/vnd.kde.itinerary	Qt, KDE, Utility	
xfce-mouse-settings.desktop	Mouse and Touchpad		Configure pointer device behavior and appearance	"xfce4-mouse-settings"	UI	OnDisplay	Shown		XFCE, GTK, Settings, DesktopSettings, X-XFCE-SettingsDialog, X-XFCE-HardwareSettings	settings, buttons, scroll, direction, pointer, speed, double click, theme, wheel
org.kde.kteatime.desktop	KTeaTime	Tea Cooker		"kteatime"	UI	OnDisplay	Shown		Qt, KDE, Utility	
kcm_nightcolor.desktop	Night Color			"systemsettings kcm_nightcolor"	UI	NoDisplay	Shown			
org.kde.minuet.desktop	Minuet	Music Education Software		"minuet"	UI	OnDisplay	Shown		Qt, KDE, Education, Music, X-KDE-Edu-Misc	
org.kde.plasmawindowed.desktop	Plasma Windowed		Run Plasmoids as simple applications	"/usr/bin/plasmawindowed"	UI	NoDisplay	Shown			
